p_val,avg_log2FC,pct.1,pct.2,p_val_adj,marker,celltype,de
25209,9.71127680385137e-49,0.812375371160567,0.135,0.088,3.7073770326383e-44,AC009403.1,Ex,Up reg
25262,1.45307223307656e-47,0.985463710481396,0.058,0.026,5.54724855699307e-43,AC107072.1,Ex,Up reg
25267,1.78136135694527e-47,0.798365433546627,0.178,0.128,6.80052511627427e-43,GLIDR,Ex,Up reg
25287,1.17614377860424e-46,-0.736501174803203,0.048,0.084,4.49004648919956e-42,NPIPB15,Ex,Down reg
25333,1.46466984257494e-45,-0.851302355646426,0.088,0.132,5.5915235910141e-41,GADD45GIP1,Ex,Down reg
25367,7.78234724709264e-45,-1.1224912374838,0.026,0.054,2.97098888505009e-40,AL390778.1,Ex,Down reg
25457,3.80957871270151e-43,0.611987234688593,0.22,0.169,1.45434476936093e-38,LINC00685,Ex,Up reg
25505,3.61608549974427e-42,0.811179391450637,0.12,0.078,1.38047680038237e-37,LINC01484,Ex,Up reg
25541,2.8058699171622e-41,-1.26356533145676,0.064,0.101,1.07116889957584e-36,HSPA1B,Ex,Down reg
25595,4.40668835008357e-40,0.826837581731814,0.105,0.066,1.6822973445279e-35,LINC01954,Ex,Up reg
25641,3.0526978589602e-39,-0.682751995725046,0.138,0.187,1.16539793463664e-34,PCP4,Ex,Down reg
25656,6.0231682115504e-39,-0.688697342108631,0.054,0.088,2.29940469644148e-34,AC008780.2,Ex,Down reg
25834,2.95964952444641e-36,-0.719673499503327,0.041,0.07,1.12987580245266e-31,AC079340.1,Ex,Down reg
25850,4.8884177628867e-36,1.24816580471613,0.047,0.023,1.86620236515963e-31,AC097487.1,Ex,Up reg
25862,8.49309977280596e-36,-0.614739871000133,0.07,0.106,3.2423257692664e-31,AL158058.1,Ex,Down reg
26095,2.28234076092751e-32,-0.735982943018576,0.074,0.108,8.71306408891685e-28,SCAND1,Ex,Down reg
26101,2.69363321912618e-32,-1.26606262519293,0.01,0.026,1.02832141773361e-27,HLA-C,Ex,Down reg
26123,5.86723226716857e-32,0.605361538507672,0.069,0.041,2.23987459031427e-27,APOE,Ex,Up reg
26155,1.53106162825099e-31,-1.40699380242377,0.014,0.031,5.84498087201096e-27,LINC02470,Ex,Down reg
26167,2.18754369287311e-31,-0.828389566964265,0.046,0.074,8.35116680191239e-27,TRAPPC1,Ex,Down reg
26307,1.05893200344797e-29,0.676351448818064,0.217,0.175,4.04257881636298e-25,EYS,Ex,Up reg
26414,2.55383456128373e-28,0.930991434725273,0.067,0.041,9.74951882115677e-24,CFAP97D2,Ex,Up reg
26423,3.27796843037106e-28,0.659640357728716,0.158,0.122,1.25139722797846e-23,LINC02359,Ex,Up reg
