p_val,avg_log2FC,pct.1,pct.2,p_val_adj,marker,celltype,de
110165,8.78898294380682e-20,1.16249535096659,0.163,0.061,3.35528212862769e-15,HIST2H2BF,Mic,Up reg
110166,8.82692355681276e-20,0.733208730271597,0.245,0.116,3.36976633704884e-15,HRH2,Mic,Up reg
110179,2.27331164671355e-19,0.691741821357992,0.232,0.108,8.67859454249366e-15,HSD17B12,Mic,Up reg
110192,6.3671459801823e-19,0.998486957808419,0.181,0.074,2.43072164939439e-14,TIMM23B,Mic,Up reg
110389,3.56597968224519e-15,1.35149007436979,0.082,0.02,1.36134840349392e-10,AGAP6,Mic,Up reg
111030,2.46845369246395e-10,-1.64854647974143,0.067,0.124,9.42356881635036e-06,NEFL,Mic,Down reg
111341,2.84465542702702e-09,-1.50821718443279,0.072,0.127,0.000108597565582183,HOMER1,Mic,Down reg
111469,6.91183558962443e-09,0.872082180750458,0.066,0.023,0.000263866235469502,CD40,Mic,Up reg
111542,1.11030896455206e-08,0.651950441614929,0.075,0.029,0.000423871550307393,NPIPB13,Mic,Up reg
111624,1.77480489981526e-08,0.939709008482736,0.074,0.03,0.000677549518553475,UBALD2,Mic,Up reg
111877,7.70684636136192e-08,0.712583337499648,0.073,0.031,0.00294216566691353,MGAM,Mic,Up reg
111893,8.72396216079026e-08,0.654794121070778,0.072,0.03,0.00333045979450329,C1orf56,Mic,Up reg
